"","saida.time","saida.n.risk","saida.n.event","saida.surv","saida.std.err","saida.lower","saida.upper"
"1",0,4661,0,1,0,1,1
"2",1,4308,0,1,0,1,1
"3",2,3956,0,1,0,1,1
"4",3,3604,0,1,0,1,1
"5",4,3252,0,1,0,1,1
"6",5,2900,0,1,0,1,1
"7",6,2548,0,1,0,1,1
"8",7,2196,27,0.987704918032787,0.00235159839128897,0.983106607054172,0.992324736815036
"9",8,2064,0,0.987704918032787,0.00235159839128897,0.983106607054172,0.992324736815036
"10",9,2064,0,0.987704918032787,0.00235159839128897,0.983106607054172,0.992324736815036
"11",10,2064,0,0.987704918032787,0.00235159839128897,0.983106607054172,0.992324736815036
"12",11,2064,0,0.987704918032787,0.00235159839128897,0.983106607054172,0.992324736815036
"13",12,2064,0,0.987704918032787,0.00235159839128897,0.983106607054172,0.992324736815036
"14",13,2064,0,0.987704918032787,0.00235159839128897,0.983106607054172,0.992324736815036
"15",14,2064,0,0.987704918032787,0.00235159839128897,0.983106607054172,0.992324736815036
"16",15,2064,0,0.987704918032787,0.00235159839128897,0.983106607054172,0.992324736815036
"17",16,2064,0,0.987704918032787,0.00235159839128897,0.983106607054172,0.992324736815036
"18",17,2064,0,0.987704918032787,0.00235159839128897,0.983106607054172,0.992324736815036
"19",18,2064,0,0.987704918032787,0.00235159839128897,0.983106607054172,0.992324736815036
"20",19,1760,0,0.987704918032787,0.00235159839128897,0.983106607054172,0.992324736815036
"21",20,1408,0,0.987704918032787,0.00235159839128897,0.983106607054172,0.992324736815036
"22",0,5105,0,1,0,1,1
"23",1,4752,0,1,0,1,1
"24",2,4400,0,1,0,1,1
"25",3,4048,0,1,0,1,1
"26",4,3696,0,1,0,1,1
"27",5,3344,0,1,0,1,1
"28",6,2992,0,1,0,1,1
"29",7,2640,0,1,0,1,1
"30",8,2288,0,1,0,1,1
"31",9,1936,30,0.984504132231405,0.00280713982797221,0.979017584311484,0.990021427513335
"32",10,1583,40,0.959627211644383,0.00475051785709571,0.950361391530382,0.968983371520868
"33",11,1514,0,0.959627211644383,0.00475051785709571,0.950361391530382,0.968983371520868
"34",12,1514,0,0.959627211644383,0.00475051785709571,0.950361391530382,0.968983371520868
"35",13,1514,0,0.959627211644383,0.00475051785709571,0.950361391530382,0.968983371520868
