"","saida.time","saida.n.risk","saida.n.event","saida.surv","saida.std.err","saida.lower","saida.upper"
"1",0,5817,0,1,0,1,1
"2",1,5465,0,1,0,1,1
"3",2,5113,0,1,0,1,1
"4",3,4761,0,1,0,1,1
"5",4,4409,0,1,0,1,1
"6",5,4057,0,1,0,1,1
"7",6,3705,0,1,0,1,1
"8",7,3353,0,1,0,1,1
"9",8,3001,0,1,0,1,1
"10",9,2649,0,1,0,1,1
"11",10,2297,0,1,0,1,1
"12",11,1945,0,1,0,1,1
"13",12,1593,5,0.996861268047709,0.00140147897711803,0.994118200720104,0.999611904312647
"14",13,1241,0,0.996861268047709,0.00140147897711803,0.994118200720104,0.999611904312647
"15",14,889,190,0.783808803560572,0.0137498094899461,0.757317694131204,0.811226576772177
"16",15,577,0,0.783808803560572,0.0137498094899461,0.757317694131204,0.811226576772177
"17",16,577,0,0.783808803560572,0.0137498094899461,0.757317694131204,0.811226576772177
"18",17,577,0,0.783808803560572,0.0137498094899461,0.757317694131204,0.811226576772177
"19",18,577,0,0.783808803560572,0.0137498094899461,0.757317694131204,0.811226576772177
"20",19,577,0,0.783808803560572,0.0137498094899461,0.757317694131204,0.811226576772177
"21",20,577,0,0.783808803560572,0.0137498094899461,0.757317694131204,0.811226576772177
"22",0,5803,0,1,0,1,1
"23",1,5451,0,1,0,1,1
"24",2,5099,0,1,0,1,1
"25",3,4747,0,1,0,1,1
"26",4,4394,0,1,0,1,1
"27",5,4042,0,1,0,1,1
"28",6,3690,0,1,0,1,1
"29",7,3338,0,1,0,1,1
"30",8,2986,0,1,0,1,1
"31",9,2634,0,1,0,1,1
"32",10,2282,0,1,0,1,1
"33",11,1930,0,1,0,1,1
"34",12,1578,5,0.996831432192649,0.00141477984811489,0.994062367826881,0.999608210075908
"35",13,1226,4,0.993579127356784,0.00215042003967388,0.989373308340676,0.997802825280122
"36",14,874,175,0.794635938240723,0.0135586099614467,0.768500991995177,0.821659673729708
"37",15,546,0,0.794635938240723,0.0135586099614467,0.768500991995177,0.821659673729708
"38",16,546,0,0.794635938240723,0.0135586099614467,0.768500991995177,0.821659673729708
"39",17,546,0,0.794635938240723,0.0135586099614467,0.768500991995177,0.821659673729708
"40",18,546,0,0.794635938240723,0.0135586099614467,0.768500991995177,0.821659673729708
"41",19,546,0,0.794635938240723,0.0135586099614467,0.768500991995177,0.821659673729708
"42",20,546,0,0.794635938240723,0.0135586099614467,0.768500991995177,0.821659673729708
"43",0,5842,0,1,0,1,1
"44",1,5490,0,1,0,1,1
"45",2,5138,0,1,0,1,1
"46",3,4786,0,1,0,1,1
"47",4,4434,0,1,0,1,1
"48",5,4082,0,1,0,1,1
"49",6,3730,0,1,0,1,1
"50",7,3378,0,1,0,1,1
"51",8,3026,0,1,0,1,1
"52",9,2674,0,1,0,1,1
"53",10,2322,0,1,0,1,1
"54",11,1970,0,1,0,1,1
"55",12,1617,0,1,0,1,1
"56",13,1265,0,1,0,1,1
"57",14,913,148,0.83789704271632,0.0121970669863996,0.814329035577509,0.862147146325019
"58",15,561,38,0.781141093298815,0.0144334495593569,0.753358168044439,0.809948618761209
"59",16,523,0,0.781141093298815,0.0144334495593569,0.753358168044439,0.809948618761209
"60",17,523,0,0.781141093298815,0.0144334495593569,0.753358168044439,0.809948618761209
"61",18,523,0,0.781141093298815,0.0144334495593569,0.753358168044439,0.809948618761209
"62",19,523,0,0.781141093298815,0.0144334495593569,0.753358168044439,0.809948618761209
"63",20,523,0,0.781141093298815,0.0144334495593569,0.753358168044439,0.809948618761209
"64",0,5787,0,1,0,1,1
"65",1,5435,0,1,0,1,1
"66",2,5083,0,1,0,1,1
"67",3,4730,0,1,0,1,1
"68",4,4378,0,1,0,1,1
"69",5,4026,0,1,0,1,1
"70",6,3674,0,1,0,1,1
"71",7,3322,0,1,0,1,1
"72",8,2970,0,1,0,1,1
"73",9,2618,0,1,0,1,1
"74",10,2266,0,1,0,1,1
"75",11,1914,0,1,0,1,1
"76",12,1562,0,1,0,1,1
"77",13,1210,0,1,0,1,1
"78",14,858,141,0.835664335664336,0.0126513887940589,0.811232341276535,0.860832151738962
"79",15,506,15,0.810891677492468,0.0137988478426421,0.784292473023416,0.838392991445828
"80",16,491,0,0.810891677492468,0.0137988478426421,0.784292473023416,0.838392991445828
"81",17,491,0,0.810891677492468,0.0137988478426421,0.784292473023416,0.838392991445828
"82",18,491,0,0.810891677492468,0.0137988478426421,0.784292473023416,0.838392991445828
"83",19,491,0,0.810891677492468,0.0137988478426421,0.784292473023416,0.838392991445828
"84",20,491,0,0.810891677492468,0.0137988478426421,0.784292473023416,0.838392991445828
