"","saida.time","saida.n.risk","saida.n.event","saida.surv","saida.std.err","saida.lower","saida.upper"
"1",0,6755,0,1,0,1,1
"2",1,5996,0,1,0,1,1
"3",2,5196,0,1,0,1,1
"4",3,4396,0,1,0,1,1
"5",4,3596,0,1,0,1,1
"6",5,2796,0,1,0,1,1
"7",6,1996,0,1,0,1,1
"8",7,1196,80,0.933110367892977,0.00722404298227161,0.919058384688,0.947377199507241
"9",8,396,263,0.31339312861052,0.0222784415044764,0.27263360635132,0.360246318767204
"10",0,6682,0,1,0,1,1
"11",1,5993,0,1,0,1,1
"12",2,5193,0,1,0,1,1
"13",3,4393,0,1,0,1,1
"14",4,3593,0,1,0,1,1
"15",5,2793,0,1,0,1,1
"16",6,1993,0,1,0,1,1
"17",7,1193,59,0.950544844928751,0.00627728529987819,0.938320872175263,0.962928065455904
"18",8,393,227,0.401502402692551,0.0238317241951639,0.357407710001773,0.45103721843911
"19",0,6793,0,1,0,1,1
"20",1,6160,0,1,0,1,1
"21",2,5360,0,1,0,1,1
"22",3,4560,0,1,0,1,1
"23",4,3760,0,1,0,1,1
"24",5,2960,0,1,0,1,1
"25",6,2160,0,1,0,1,1
"26",7,1360,0,1,0,1,1
"27",8,560,326,0.417857142857143,0.0208417742861203,0.378941187954904,0.460769632298492
"28",0,6701,0,1,0,1,1
"29",1,6137,0,1,0,1,1
"30",2,5337,0,1,0,1,1
"31",3,4537,0,1,0,1,1
"32",4,3737,0,1,0,1,1
"33",5,2937,0,1,0,1,1
"34",6,2137,0,1,0,1,1
"35",7,1337,0,1,0,1,1
"36",8,537,329,0.387337057728119,0.0210217171309437,0.348250931514325,0.430810035847112
