"","saida.time","saida.n.risk","saida.n.event","saida.surv","saida.std.err","saida.lower","saida.upper"
"1",0,8125,0,1,0,1,1
"2",1,7956,0,1,0,1,1
"3",2,7156,0,1,0,1,1
"4",3,6356,0,1,0,1,1
"5",4,5556,0,1,0,1,1
"6",5,4756,0,1,0,1,1
"7",6,3956,0,1,0,1,1
"8",7,3156,0,1,0,1,1
"9",8,2356,0,1,0,1,1
"10",9,1556,0,1,0,1,1
"11",10,756,96,0.873015873015873,0.0121094631803456,0.849601479324728,0.897075550225545
"12",0,8095,0,1,0,1,1
"13",1,8013,0,1,0,1,1
"14",2,7213,0,1,0,1,1
"15",3,6413,0,1,0,1,1
"16",4,5613,0,1,0,1,1
"17",5,4813,0,1,0,1,1
"18",6,4013,0,1,0,1,1
"19",7,3213,0,1,0,1,1
"20",8,2413,0,1,0,1,1
"21",9,1613,0,1,0,1,1
"22",10,813,174,0.785977859778598,0.0143843166489372,0.758284757179586,0.814682334325019
"23",11,13,13,0,NA,NA,NA
"24",0,8107,0,1,0,1,1
"25",1,7322,0,1,0,1,1
"26",2,6522,0,1,0,1,1
"27",3,5722,0,1,0,1,1
"28",4,4922,0,1,0,1,1
"29",5,4122,0,1,0,1,1
"30",6,3322,0,1,0,1,1
"31",7,2522,0,1,0,1,1
"32",8,1722,0,1,0,1,1
"33",9,922,112,0.878524945770065,0.010758584597825,0.857689554210861,0.899866480302906
"34",10,122,122,0,NA,NA,NA
"35",0,8093,0,1,0,1,1
"36",1,7379,0,1,0,1,1
"37",2,6579,0,1,0,1,1
"38",3,5779,0,1,0,1,1
"39",4,4979,0,1,0,1,1
"40",5,4179,0,1,0,1,1
"41",6,3379,0,1,0,1,1
"42",7,2579,0,1,0,1,1
"43",8,1779,0,1,0,1,1
"44",9,979,71,0.927477017364658,0.00828892215337895,0.911372486339418,0.943866125687798
"45",10,179,177,0.0103628717023984,0.00728719377317325,0.00261164027231024,0.0411194110685749
