"","saida.time","saida.n.risk","saida.n.event","saida.surv","saida.std.err","saida.lower","saida.upper"
"1",0,1041,0,1,0,1,1
"2",1,932,0,1,0,1,1
"3",2,572,0,1,0,1,1
"4",3,212,10,0.952830188679245,0.014560352638781,0.924715547687086,0.981799614734871
"5",0,1032,0,1,0,1,1
"6",1,951,0,1,0,1,1
"7",2,591,0,1,0,1,1
"8",3,231,11,0.952380952380952,0.0140116639603928,0.925310762222798,0.98024308749978
"9",0,1040,0,1,0,1,1
"10",1,991,0,1,0,1,1
"11",2,631,0,1,0,1,1
"12",3,271,13,0.952029520295203,0.0129815811586619,0.92692307382863,0.977815994772704
"13",0,1027,0,1,0,1,1
"14",1,1011,0,1,0,1,1
"15",2,651,0,1,0,1,1
"16",3,291,7,0.975945017182131,0.00898191015500884,0.958498619980217,0.993708970162406
