"","saida.time","saida.n.risk","saida.n.event","saida.surv","saida.std.err","saida.lower","saida.upper"
"1",0,2434,0,1,0,1,1
"2",1,2062,0,1,0,1,1
"3",2,1262,0,1,0,1,1
"4",3,462,14,0.96969696969697,0.00797517206011841,0.954191227996013,0.985454681882084
"5",0,2423,0,1,0,1,1
"6",1,2109,0,1,0,1,1
"7",2,1309,0,1,0,1,1
"8",3,509,8,0.984282907662082,0.00551298972339804,0.97353673892492,0.995147695592451
"9",0,2426,0,1,0,1,1
"10",1,2185,0,1,0,1,1
"11",2,1385,0,1,0,1,1
"12",3,585,6,0.98974358974359,0.00416563398588741,0.98161267960608,0.997941849968397
"13",0,2440,0,1,0,1,1
"14",1,2256,0,1,0,1,1
"15",2,1456,0,1,0,1,1
"16",3,656,10,0.984756097560976,0.00478366215296186,0.9754247839629,0.994176678332592
