"","saida.time","saida.n.risk","saida.n.event","saida.surv","saida.std.err","saida.lower","saida.upper"
"1",0,1499,0,1,0,1,1
"2",1,1113,0,1,0,1,1
"3",2,313,18,0.942492012779553,0.0131592383790482,0.917050080994797,0.968639785942391
"4",0,1474,0,1,0,1,1
"5",1,1146,0,1,0,1,1
"6",2,346,31,0.910404624277457,0.0153540155328088,0.880803237213307,0.941000832976111
"7",0,1490,0,1,0,1,1
"8",1,1233,0,1,0,1,1
"9",2,433,20,0.953810623556582,0.010086910772439,0.934244123247676,0.973786918184566
"10",0,1488,0,1,0,1,1
"11",1,1317,0,1,0,1,1
"12",2,517,33,0.936170212765957,0.0107508755880832,0.915334251464354,0.9574804677834
